数据量为:  12800000

total cpu_time: 79.226997 ms
total gpu_time: 0.012160 ms

PASS!

 Time (%)  Total Time (ns)  Num Calls   Avg (ns)    Med (ns)    Min (ns)  Max (ns)   StdDev (ns)           Name         
 --------  ---------------  ---------  ----------  -----------  --------  ---------  -----------  ----------------------
     92.7       7126292347         75  95017231.3  100134418.0      2094  105615467   18383927.1  poll                  
      6.5        498552387        485   1027943.1      15218.0       491   97277871    6131694.0  ioctl                 
      0.3         26060842         13   2004680.2       6463.0       200   23336277    6424466.2  fread                 
      0.2         16974235          1  16974235.0   16974235.0  16974235   16974235          0.0  pthread_join          
      0.2         15632939          1  15632939.0   15632939.0  15632939   15632939          0.0  pthread_cond_wait     
      0.0          2801844          8    350230.5     300514.0      1112     796463     376638.4  read                  
      0.0          1281454          3    427151.3     215605.0    165661     900188     410422.2  sem_timedwait         
      0.0           782868         26     30110.3       8956.5      2384     512701      98789.5  mmap                  
      0.0           770446         22     35020.3       7018.0      1453     440316      97478.7  fopen                 
      0.0           225354          7     32193.4      22532.0      2084     123642      41548.4  open                  
      0.0           184246          3     61415.3      58149.0     52368      73729      11048.7  pthread_create        
      0.0            56575         35      1616.4         60.0        50      54572       9214.4  fgets                 
      0.0            52308         14      3736.3       2364.0       922      16631       4012.2  fclose                
      0.0            26570          4      6642.5       5595.5       962      14417       5734.2  write                 
      0.0            17934          3      5978.0       6151.0      3778       8005       2118.8  munmap                
      0.0            14787         10      1478.7        897.0       310       3306       1061.3  fcntl                 
      0.0            14527          3      4842.3       5901.0      2154       6472       2345.6  pipe2                 
      0.0             9468          3      3156.0       1643.0       300       7525       3842.8  pthread_cond_broadcast
      0.0             6693          2      3346.5       3346.5      3136       3557        297.7  fwrite                
      0.0              863         10        86.3         50.5        40        401        110.8  fflush                


 Time (%)  Total Time (ns)  Num Calls   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)           Name         
 --------  ---------------  ---------  -----------  -----------  ---------  ---------  -----------  ----------------------
     67.8        379261353          1  379261353.0  379261353.0  379261353  379261353          0.0  cudaLaunchKernel      
     29.1        162977818          3   54325939.3    7903042.0      78988  154995788   87270371.7  cudaMemcpy            
      2.1         11552782          2    5776391.0    5776391.0      15639   11537143    8146933.6  cudaFree              
      0.8          4399737          2    2199868.5    2199868.5       5921    4393816    3102710.3  cudaEventCreate       
      0.2          1398404          3     466134.7     443050.0      11712     943642     466393.7  cudaMalloc            
      0.0           106649          2      53324.5      53324.5       8596      98053      63255.7  cudaEventRecord       
      0.0            59732          1      59732.0      59732.0      59732      59732          0.0  cudaEventSynchronize  
      0.0             3295          2       1647.5       1647.5        811       2484       1183.0  cudaEventDestroy      
      0.0             1282          1       1282.0       1282.0       1282       1282          0.0  cuModuleGetLoadingMode
