数据量为:  12800000

total cpu_time: 36.588001 ms
total gpu_time: 35.820766 ms

PASS!

Generating '/tmp/nsys-report-e286.qdstrm'


 Time (%)  Total Time (ns)  Num Calls   Avg (ns)    Med (ns)    Min (ns)  Max (ns)   StdDev (ns)           Name         
 --------  ---------------  ---------  ----------  -----------  --------  ---------  -----------  ----------------------
     94.9       2804510298         32  87640946.8  100150329.0      1132  100190101   30314806.7  poll                  
      4.5        133703141        482    277392.4       7023.5       541   12986422    1049361.1  ioctl                 
      0.3         10242819         13    787909.2       3937.0        90    9707478    2681965.7  fread                 
      0.1          2032659          8    254082.4     219358.0      1403     562965     271966.8  read                  
      0.0          1271912          3    423970.7     590979.0     52712     628221     322058.2  pthread_create        
      0.0          1011510          1   1011510.0    1011510.0   1011510    1011510          0.0  pthread_join          
      0.0           583956         22     26543.5       4949.0      1042     397837      83526.1  fopen                 
      0.0           239473          3     79824.3      81307.0     75496      82670       3809.9  sem_timedwait         
      0.0           199065          7     28437.9      10420.0      1764     148216      52950.3  open                  
      0.0           188135         26      7236.0       6954.0      1994      16642       3698.9  mmap                  
      0.0            77209          1     77209.0      77209.0     77209      77209          0.0  pthread_cond_wait     
      0.0            58633          4     14658.3      19152.0       771      19558       9260.2  write                 
      0.0            51780         14      3698.6       1633.0       631      11763       3558.6  fclose                
      0.0            43654         35      1247.3         50.0        40      41871       7068.6  fgets                 
      0.0            18214          3      6071.3        250.0       180      17784      10143.5  pthread_cond_broadcast
      0.0            14037          3      4679.0       5941.0      1463       6633       2806.5  pipe2                 
      0.0            13417         10      1341.7       1092.0       271       4238       1068.7  fcntl                 
      0.0            10692          3      3564.0       3377.0      1704       5611       1960.2  munmap                
      0.0             5991          2      2995.5       2995.5      2224       3767       1091.1  fwrite                
      0.0              721         10        72.1         45.5        40        180         50.0  fflush                

[5/8] Executing 'cuda_api_sum' stats report

 Time (%)  Total Time (ns)  Num Calls   Avg (ns)    Med (ns)   Min (ns)  Max (ns)   StdDev (ns)           Name         
 --------  ---------------  ---------  ----------  ----------  --------  ---------  -----------  ----------------------
     49.3        187003718          2  93501859.0  93501859.0    659371  186344347  131299105.7  cudaMalloc            
     28.5        107900333          2  53950166.5  53950166.5     41410  107858923   76238494.6  cudaLaunchKernel      
     11.4         43255632          2  21627816.0  21627816.0   8074900   35180732   19166717.6  cudaMemcpy            
      9.4         35814700          1  35814700.0  35814700.0  35814700   35814700          0.0  cudaEventSynchronize  
      0.8          2865966          2   1432983.0   1432983.0      2104    2863862    2023568.5  cudaEventCreate       
      0.6          2151789          2   1075894.5   1075894.5    228821    1922968    1197942.8  cudaFree              
      0.0            68442          2     34221.0     34221.0      5741      62701      40276.8  cudaEventRecord       
      0.0             3718          2      1859.0      1859.0       722       2996       1608.0  cudaEventDestroy      
      0.0             1082          1      1082.0      1082.0      1082       1082          0.0  cuModuleGetLoadingMode

